"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 06 09:53:06 CDT 2021","Tue Apr 06 09:53:06 CDT 2021","2","","login:","","login:","test something","test something",""
"failed","Tue Apr 06 09:53:00 CDT 2021","Tue Apr 06 09:53:06 CDT 2021","6354","","Login","","Login","Login with right credentials","Login with right credentials",""
